num,pNum
CS 171,CS 170
CS 224,CS 170
CS 224,MATH 112
CS 255,CS 171
CS 323,CS 171
CS 323,CS 224
CS 325,CS 323
CS 329,CS 171
CS 355,CS 171
CS 355,CS 255
CS 370,CS 255
CS 370,CS 224
CS 377,CS 171
CS 378,CS 323
CS 424,CS 224
CS 424,CS 323
CS 450,CS 171
CS 450,CS 255
CS 452,CS 450
CS 453,CS 450
CS 455,CS 450
CS 456,CS 255
CS 456,CS 323
CS 456,CS 424
MATH 112,MATH 111
MATH 211,MATH 112
MATH 212,MATH 112
MATH 221,MATH 112
MATH 250,MATH 112
MATH 270,MATH 112
MATH 315,MATH 221
MATH 315,CS 170
MATH 318,MATH 211
MATH 318,MATH 250
MATH 321,MATH 250
MATH 328,MATH 250
MATH 330,MATH 221
MATH 330,MATH 250
MATH 344,MATH 211
MATH 344,MATH 221
MATH 344,MATH 250
MATH 345,CS 170
MATH 345,MATH 212
MATH 346,CS 170
MATH 346,MATH 221
MATH 347,CS 170
MATH 347,MATH 221
MATH 347,MATH 250
MATH 347,MATH 211
MATH 351,MATH 211
MATH 351,MATH 212
MATH 351,MATH 221
MATH 352,MATH 211
MATH 352,MATH 212
MATH 352,MATH 221
MATH 361,MATH 211
MATH 362,MATH 361
MATH 411,MATH 211
MATH 411,MATH 250
MATH 411,MATH 221
MATH 412,MATH 411
MATH 421,MATH 221
MATH 421,MATH 250
MATH 422,MATH 421
MATH 425,MATH 211